순위,영화명,개봉일,매출액 ,매출액 점유율,관객수,스크린수,대표국적,국적,배급사
53,핑크퐁 시네마 콘서트3 : 진저브레드맨을 잡아라,2023-07-26,525427100 ,0.001,61016,128,한국,한국,더핑크퐁컴퍼니(주)
54,수라,2023-06-21,511814124 ,0.001,60371,136,한국,한국,"스튜디오두마,미디어나무(주),스튜디오 에이드"
55,바람 따라 만나리 : 김호중의 계절,2023-10-18,1259368000 ,0.002,56056,78,한국,한국,"씨제이포디플렉스 주식회사,CGV ICECON"
56,런닝맨: 리벤져스,2023-08-10,454676800 ,0.001,54097,221,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
57,더 와일드: 야수들의 전쟁,2023-11-15,384063300 ,0.001,44540,239,한국,한국,"TCO(주)더콘텐츠온,(주)제이앤씨미디어그룹,(주)아센디오"
58,"2022 영탁 단독 콘서트 ""탁쇼""",2023-06-28,1017054000 ,0.002,42384,72,한국,한국,씨제이 씨지브이(CJ CGV)(주)
59,도티와 영원의 탑,2023-12-27,388161976 ,0.001,41696,370,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
60,롱디,2023-05-10,308893500 ,0.001,36777,262,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
61,극장판 우당탕탕 은하안전단: 진정한 용기!,2023-11-30,256074430 ,0,33858,261,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
62,아버지의 마음,2023-07-20,330119906 ,0.001,33407,85,한국,한국,"(주)드림팩트엔터테인먼트,파이오니아21"
63,너와 나,2023-10-25,324601964 ,0.001,33244,76,한국,한국,"주식회사 필름영,그린나래미디어(주)"
64,비투비 타임 : 비투게더 더 무비,2023-11-15,628174500 ,0.001,31412,32,한국,한국,(주)케이티알파
65,어른 김장하,2023-11-15,230378472 ,0,27572,98,한국,한국,(주)시네마달
66,괴담만찬,2023-10-18,220853620 ,0,27389,162,한국,한국,"TCO(주)더콘텐츠온,(주)블루라벨픽쳐스,(주)대교 미디어콘텐츠사업본부"
67,마이 샤이니 월드,2023-11-03,583161000 ,0.001,26403,118,한국,한국,메가박스중앙(주)
68,사채소년,2023-11-22,193789300 ,0,26148,211,한국,한국,영화사빅
69,엔시티 네이션 : 투 더 월드 인 시네마,2023-12-06,553420000 ,0.001,25030,87,한국,한국,씨제이포디플렉스 주식회사
70,극장판 뽀로로와 친구들: 바이러스를 없애줘!,2022-12-01,211318100 ,0,23359,380,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
71,빈틈없는 사이,2023-07-05,203095710 ,0,22198,291,한국,한국,"(주)갤리온엔터테인먼트,영화로운 형제"
72,스트리머,2023-05-10,198703100 ,0,22111,181,한국,한국,"TCO(주)더콘텐츠온,(주)블루라벨픽쳐스"
73,치치핑핑의 쿵쿵따 탐험대,2023-04-10,128173300 ,0,21220,4,한국,한국,(주)에픽캔
74,치악산,2023-09-13,183966250 ,0,21028,220,한국,한국,와이드 릴리즈(주)
75,탄생,2022-11-30,161031375 ,0,20239,670,한국,한국,"씨제이 씨지브이(CJ CGV)(주),(주)레드아이스 엔터테인먼트"
76,오픈 더 도어,2023-10-25,160931400 ,0,19202,213,한국,한국,"(주)콘텐츠판다,(주)비에이엔터테인먼트"
77,나는 여기에 있다,2023-04-12,143076700 ,0,18504,122,한국,한국,와이드 릴리즈(주)
78,어쩌면 우린 헤어졌는지 모른다,2023-02-08,186330566 ,0,18354,333,한국,한국,(주)영화특별시에스엠씨
79,비밀의 언덕,2023-07-12,131063293 ,0,16492,56,한국,한국,(주)엣나인필름
80,듣보인간의 생존신고,2023-09-06,139216041 ,0,14489,93,한국,한국,(주)시네마달
81,지옥만세,2023-08-16,120778259 ,0,14337,65,한국,한국,찬란
82,라방,2023-06-28,122980128 ,0,13647,282,한국,한국,(주)트리플픽쳐스
83,길위에 김대중,2024-01-10,119789000 ,0,13381,0,한국,한국,"(주)아이오케이컴퍼니,(주)명필름,(주)시네마6411"
84,좋.댓.구,2023-07-12,118473964 ,0,13376,146,한국,한국,"트윈플러스파트너스(주),(주)키다리스튜디오"
85,괴인,2023-11-08,100979852 ,0,12587,79,한국,한국,(주)영화사 진진
86,세계를 뒤흔든 43일,2023-11-16,124787939 ,0,12395,35,한국,한국,"(주)드림팩트엔터테인먼트,(주)빅브라더스"
87,우리 사랑이 향기로 남을 때,2023-02-08,115424800 ,0,12364,173,한국,한국,"주식회사 콘텐츠존,(주)다자인소프트"
88,드림팰리스,2023-05-31,86112204 ,0,12087,75,한국,한국,㈜인디스토리
89,만분의 일초,2023-11-15,87886606 ,0,11564,74,한국,한국,(주)더쿱디스트리뷰션
90,시간을 꿈꾸는 소녀,2023-01-11,85564894 ,0,11011,77,한국,한국,"(주)하이하버픽쳐스,(주)영화사 진진"
91,비닐하우스,2023-07-26,91592476 ,0,10923,78,한국,한국,(주)트리플픽쳐스
92,나의 피투성이 연인,2023-11-15,80979347 ,0,10202,45,한국,한국,"(주)디오시네마,㈜인디스토리"
93,"뮤지컬 공연실황, 알쏭달쏭 캐치! 티니핑",2023-05-03,117266600 ,0,9982,64,한국,한국,"씨제이 씨지브이(CJ CGV)(주),CGV ICECON"
94,두 사람을 위한 식탁,2023-10-25,73821656 ,0,9889,37,한국,한국,필름다빈
95,그 여름,2023-06-07,90775847 ,0,9640,93,한국,한국,판씨네마(주)
96,핑크퐁 시네마 콘서트 2: 원더스타 콘서트 대작전,2022-12-21,84149297 ,0,9430,432,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
97,"자우림, 더 원더랜드",2023-06-07,93976269 ,0,8979,109,한국,한국,"메가박스중앙(주),써티세븐스디그리(주)"
